BASE_OBJECT_NAME,USER_NAME,LAST_USAGE,USAGE_COUNT
"""UNIPRO_SRC.S3.TMP_DATE_DIMENSION_ADB4BC""",UNIPRO,2023-12-17T16:03:32.845-08:00,1
"""UNIPRO_SRC.S3.TMP_DEPARTMENT_DIMENSION_B38D43""",UNIPRO,2023-12-17T16:07:06.425-08:00,1
"""UNIPRO_SRC.S3.TMP_HISTORY_7D1840""",UNIPRO,2023-12-17T16:08:49.939-08:00,1
"""UNIPRO_SRC.S3.TMP_HISTORY_1D8274""",UNIPRO,2023-12-18T16:09:31.8-08:00,1
"""UNIPRO_SRC.S3.TMP_DUNS_XREF_6054D8""",UNIPRO,2023-12-15T16:07:03.887-08:00,1
"""UNIPRO_SRC.S3.TMP_MEMBER_BRANCHES_DIMENSION_D69F46""",UNIPRO,2023-12-18T16:03:29.712-08:00,1
"""UNIPRO_SRC.S3.TMP_GTIN_DIMENSION_DC0C6A""",UNIPRO,2023-12-18T16:05:14.686-08:00,1
"""UNIPRO_SRC.S3.TMP_DEPARTMENT_DIMENSION_1906A2""",UNIPRO,2023-12-18T16:07:18.952-08:00,1
"""UNIPRO_SRC.S3.TMP_CAT_GROUP_DIMENSION_C0D144""",UNIPRO,2023-12-15T16:07:05.611-08:00,1
"""UNIPRO_SRC.S3.TMP_HISTORY_028BA4""",UNIPRO,2023-12-15T16:06:37.926-08:00,1
"""UNIPRO_SRC.S3.TMP_SUPPLIER_DIMENSION_3D4139""",UNIPRO,2023-12-18T16:05:20.111-08:00,1
"""UNIPRO_SRC.S3.TMP_HEADQUARTERS_DIMENSION_EF8649""",UNIPRO,2023-12-18T16:07:13.053-08:00,1
"""UNIPRO_SRC.S3.TMP_DATE_DIMENSION_8E18BC""",UNIPRO,2023-12-18T16:06:58.112-08:00,1
"""UNIPRO_SRC.S3.TMP_GTIN_DIMENSION_5DEAFE""",UNIPRO,2023-12-15T16:05:49.251-08:00,1
"""UNIPRO_SRC.S3.TMP_CAT_GROUP_DIMENSION_BD2B27""",UNIPRO,2023-12-18T16:05:46.731-08:00,1
"""UNIPRO_SRC.S3.TMP_DUNS_XREF_E5B308""",UNIPRO,2023-12-18T16:04:39.283-08:00,1
"""UNIPRO_SRC.S3.TMP_DATE_DIMENSION_C0FDB2""",UNIPRO,2023-12-16T16:06:51.691-08:00,1
"""UNIPRO_SRC.S3.TMP_HISTORY_40D9B2""",UNIPRO,2023-12-16T16:06:45.258-08:00,1
"""UNIPRO_SRC.S3.TMP_SUPPLIER_DIMENSION_E129C0""",UNIPRO,2023-12-16T16:07:10.493-08:00,1
"""UNIPRO_SRC.S3.TMP_CAT_GROUP_DIMENSION_7D06D0""",UNIPRO,2023-12-16T16:07:10.5-08:00,1
"""UNIPRO_SRC.S3.TMP_MEMBER_BRANCHES_DIMENSION_256AF0""",UNIPRO,2023-12-16T16:05:23.449-08:00,1
"""UNIPRO_SRC.S3.TMP_DUNS_XREF_3EDC60""",UNIPRO,2023-12-16T16:07:04.829-08:00,1
"""UNIPRO_SRC.S3.TMP_HEADQUARTERS_DIMENSION_AAFBB6""",UNIPRO,2023-12-16T16:06:45.816-08:00,1
"""UNIPRO_SRC.S3.TMP_DEPARTMENT_DIMENSION_0D7A6F""",UNIPRO,2023-12-16T16:06:41.385-08:00,1
"""UNIPRO_SRC.S3.TMP_GTIN_DIMENSION_674BB1""",UNIPRO,2023-12-16T16:05:28.362-08:00,1
