Source,Authors,Year,Title,Journal/Book,Link
Patrick and Reimer  (1975),"Patrick, R.M. and Reimer, C.W. ",1975,"The Diatoms of the United States exclusive of Alaska and Hawaii, V. 2",Monographs of the Academy of Natural Sciences of Philadelphia 13,
Pearce et al. (2010) ,"Pearce, C., Cremer, H.and Wagner-Cremer, F.   ",2010,"Aulacoseira coroniformis sp. nov., a new diatom (Bacillariophyta) species from Highlands Hammock State Park, Florida.",Phytotaxa 13: 40-48.,https://doi.org/10.11646/phytotaxa.13.1.3 
Potapova and Hamilton (2007),"Potapova, M. and Hamilton, P.B.",2007,Morphological and ecological variation within the Achnanthidium minutissimum (Bacillariphyceae) species complex,Journal of Phycology 43(3): 561-575,https://doi.org/10.1111/j.1529-8817.2007.00332.x
Potapova and Ponader (2008),"Potapova, M. and Ponader, K.C.",2008,New species and combinations in the diatom genus Sellaphora (Sellaphoraceae) from southeastern United States ,Harvard Papers in Botany 13: 171-181 ,
Reichardt (2015),"Reichardt, E.",2015,Gomphonema gracile Ehrenberg sensu stricto et sensu auct. (Bacillariophyceae): A taxonomic revision,Nova Hedwigia 101(3-4): 367 - 393,http://dx.doi.org/10.1127/nova_hedwigia/2015/0275
Schmidt (1874-1959),"Schmidt, A.",1874-1959,"Atlas der Diatomaceen-Kunde, von Adolf Schmidt, continued by Martin Schmidt, Friedrich Fricke, Heinrich Heiden, Otto Muller, Friedrich Hustedt. ",,
Shayler and Siver (2004),"Shayler, H.A. and Siver, P.A. ",2004,"Biodiversity of the genus Brachysira in the Ocala National Forest, Florida, U.S.A. ","Proceedings of the Seventeenth International Diatom. Symposium Ottawa, Canada, 25th – 31st August 2002 (M. Poulin, ed.), Biopress limited, Bristol. p. 309-333.",
Siver and Hamilton (2005),"Siver, P. and Hamilton, P.B.",2005,"Observation on new and rare species of freshwater diatoms from Cape Cod, Massachussets, USA",Canadian Journal of Botany 83: 362-378.,https://doi.org/10.1139/b05-010
Siver and Hamilton (2011),"Siver, P. and Hamilton, P.B.",2011,Diatoms of North America: the freshwater flora of waterbodies on the Atlantic Coastal Plain.,Iconographia Diatomologica 22: 1-916,
Siver et al. (2005),"Siver, P.A., Hamilton, P.B., Stachura-Suchoples, K. and Kociolek, J.P.",2005,Diatoms of North America. The Freshwater Flora of Cape Cod,Iconographia Diatomologica 14: 1-463 ,
Siver et al. (2006),"Siver, P.A., Morales, E.A. Van de Vijver, B. Smits, M. Hamilton, P.B., Lange-Bertalot, H. and Hains, J.J.",2006,"Observations on Fragilaria longifusiformis comb. nov. et nom. nov. (Bacillariophyceae), a widespread planktic diatom documented from North America and Europe",Phycological Research 54(3): 183-192.,
Spaulding et al. (2020),"Spaulding, S.A., Bishop, I.W., Edlund, M.B., Lee, S., Furey, P., Jovanovska, E. and Potapova, M. Diatoms of North America. https://diatoms.org/",2020,Diatoms of North America. ,,https://diatoms.org/
Tuji and Williams (2008),"Tuji, A. and Williams, D.M.",2008,"Examination of type material of Fragilaria mesolepta Rabenhorst and two similar, but distinct, taxa ",Diatom Research 23(2): 503-510,http://dx.doi.org/10.1080/0269249X.2008.9705772
Wetzel et al. (2015),"Wetzel, C.E., Ector, L., Van de Vijver, B., Compère, P. and Mann, D.G. ",2015,"Morphology, typification and critical analysis of some ecologically important small naviculoid species (Bacillariophyta)",Fottea 15(2): 203–234 ,http://dx.doi.org/10.5507/fot.2015.020
Wetzel et al. (2019),"Wetzel, C.E., Van der Vijver, B., Blanco, S. and Ector, L.",2019,On some common and new cavum–bearing Planothidium (Bacillariophyta) species from freshwater. ,Fottea 145: 217-236,http://dx.doi.org/10.5507/fot.2018.016
Zelazna-Wieczorek and Olszynski (2016),"Zelazna-Wieczorek, J. and Olszynski, R.M.",2016,Taxonomic revisión of Chamaepinnularia krookiformis Lange-Bertalot et Krammer with a description of Chamaepinnularia plinskii sp. nov.,Fottea 16(1): 112-121,https://doi.org/10.5507/fot.2016.001
